"filename", "language", "Python", "HTML", "CSS", "pip requirements", "comment", "blank", "total"
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\clickjack\clickjack.py", "Python", 30, 0, 0, 0, 25, 7, 62
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\mailMisconfig\Mail_Mis_Config.py", "Python", 97, 0, 0, 0, 4, 16, 117
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\mailmisconfig.py", "Python", 70, 0, 0, 0, 0, 11, 81
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\openredirect\Crawler\core\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\openredirect\Crawler\core\extractor.py", "Python", 22, 0, 0, 0, 2, 9, 33
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\openredirect\Crawler\core\requester.py", "Python", 57, 0, 0, 0, 3, 4, 64
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\openredirect\Crawler\core\save_it.py", "Python", 21, 0, 0, 0, 0, 6, 27
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\openredirect\Crawler\parameterCrawl.py", "Python", 12, 0, 0, 0, 16, 6, 34
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\openredirect\open_redirection_final.py", "Python", 69, 0, 0, 0, 4, 20, 93
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\openredirect\openredirect_3.py", "Python", 87, 0, 0, 0, 2, 13, 102
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\security_header\security_header.py", "Python", 80, 0, 0, 0, 28, 12, 120
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\ssl_check\ssl.py", "Python", 77, 0, 0, 0, 2, 18, 97
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\subdomainTakeover\subfinder.py", "Python", 15, 0, 0, 0, 0, 2, 17
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\core\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\core\extractor.py", "Python", 22, 0, 0, 0, 2, 9, 33
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\core\requester.py", "Python", 57, 0, 0, 0, 3, 4, 64
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\core\save_it.py", "Python", 21, 0, 0, 0, 0, 6, 27
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\util\checker.py", "Python", 20, 0, 0, 0, 18, 8, 46
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\util\parameterCrawl.py", "Python", 13, 0, 0, 0, 9, 4, 26
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\util\urlparser.py", "Python", 10, 0, 0, 0, 14, 7, 31
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\Tools\xss\xss.py", "Python", 31, 0, 0, 0, 22, 21, 74
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\abc_4.py", "Python", 0, 0, 0, 0, 44, 15, 59
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\db.py", "Python", 13, 0, 0, 0, 0, 4, 17
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\main.py", "Python", 235, 0, 0, 0, 23, 67, 325
"c:\Users\Pratik\Desktop\Repaper\Weber_Final_Year_Project\requirements.txt", "pip requirements", 0, 0, 0, 3, 0, 0, 3
